Email No.,the,to,for,a,you,hou,is,this,i,your,we,are,com,please,price,attached,th,forward,u,click,unsubscribe,pro,therefore,cc,prize,hi,deadline,ur,Spam
Email 2562,3,8,3,81,15,0,9,3,70,8,3,1,1,3,0,0,15,0,40,1,0,4,0,3,0,5,0,14,1
Email 2563,5,9,1,34,1,1,3,0,28,0,3,0,0,1,0,0,12,0,17,0,0,1,0,1,0,2,0,0,0
Email 2564,5,2,3,46,4,0,4,2,28,1,0,0,1,0,0,0,8,1,19,0,0,1,0,3,0,3,0,7,0
Email 2565,9,13,11,99,2,11,5,2,41,0,5,6,0,0,0,0,21,2,38,0,0,0,0,6,0,3,0,2,0
Email 2566,53,50,18,413,11,5,55,21,433,4,3,9,27,0,2,0,112,0,139,0,0,9,0,7,0,41,0,28,1
Email 2567,12,7,4,106,5,0,18,3,89,3,2,2,3,4,0,0,21,0,32,0,0,5,0,0,0,4,0,6,0
Email 2568,2,5,3,32,8,0,2,0,21,5,5,0,0,1,0,0,6,0,17,0,0,2,0,0,0,2,0,7,1
Email 2569,6,3,2,18,0,0,3,1,12,0,2,2,1,0,0,0,7,0,5,0,0,0,0,1,0,1,0,0,0
Email 2570,3,5,0,20,1,0,1,0,6,1,0,2,1,0,0,0,4,0,9,0,0,1,0,0,0,0,0,2,1
Email 2571,1,4,0,9,0,0,0,0,11,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
Email 2572,4,3,1,20,2,0,3,1,23,0,0,0,1,1,0,0,6,0,9,0,0,0,0,0,0,1,0,1,0
Email 2573,5,2,4,54,0,2,7,0,35,0,3,0,0,1,0,1,11,1,14,0,0,0,0,0,0,0,0,3,0
Email 2574,8,3,1,29,1,0,1,0,22,0,3,1,0,0,0,0,10,0,18,0,0,0,0,0,0,2,0,1,0
Email 2575,5,7,0,33,3,0,1,0,29,0,2,1,3,0,0,0,7,0,12,0,0,2,0,0,0,4,0,4,1
Email 2576,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2577,14,12,10,115,5,0,14,1,98,1,7,5,7,1,0,2,30,3,36,0,0,2,0,5,0,7,0,2,0
Email 2578,4,3,0,18,1,0,2,0,16,0,0,0,1,1,0,0,8,0,9,0,0,0,0,4,0,1,0,0,0
Email 2579,10,4,1,33,0,1,5,1,16,0,0,2,0,1,0,0,13,0,15,0,0,1,0,0,0,3,0,1,0
Email 2580,0,1,1,15,2,1,0,0,7,1,3,1,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,2,1
Email 2581,5,9,1,56,1,0,8,0,64,0,2,1,3,1,0,0,7,0,21,0,0,0,0,2,0,9,0,6,1
Email 2582,5,3,2,49,2,1,3,1,33,0,7,3,0,1,0,0,16,0,20,0,0,1,0,0,0,4,0,5,0
Email 2583,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Email 2584,5,2,4,54,0,2,7,0,35,0,3,0,0,1,0,1,11,1,14,0,0,0,0,0,0,0,0,3,0
Email 2585,9,10,3,111,0,0,18,1,108,0,2,2,3,0,1,0,14,0,39,1,0,3,0,1,0,5,0,7,1
Email 2586,5,10,7,51,0,5,9,3,52,0,3,3,1,1,0,1,13,2,23,0,0,1,0,2,0,9,0,2,0
Email 2587,5,4,1,19,3,0,4,0,19,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,3,0,0,0
Email 2588,7,4,4,24,1,1,3,1,16,0,2,1,0,0,0,0,11,0,7,0,0,0,0,1,0,1,0,1,0
Email 2589,0,1,0,14,3,0,1,0,11,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,2,0,0,0
Email 2590,0,0,0,34,0,0,2,0,40,0,0,1,1,0,1,0,1,0,13,0,0,0,0,0,0,3,0,3,1
Email 2591,9,14,2,87,4,3,6,1,73,1,1,1,0,1,0,0,15,0,23,0,0,1,0,2,0,6,0,1,0
Email 2592,13,5,8,49,0,5,5,2,46,0,8,2,2,2,0,0,19,2,30,0,0,10,0,2,0,2,0,5,0
Email 2593,6,6,2,46,3,0,7,2,60,3,1,0,1,1,0,0,9,0,14,0,0,0,0,1,0,2,0,3,0
Email 2594,4,3,0,23,0,0,0,0,19,0,1,0,0,1,1,0,4,0,7,0,0,0,0,0,0,0,0,1,0
Email 2595,36,25,9,179,4,7,20,2,171,2,4,3,6,2,1,0,62,1,59,0,0,1,1,6,0,13,0,8,0
Email 2596,13,13,1,91,5,1,5,0,74,2,5,0,6,4,2,1,23,0,33,0,0,4,0,1,0,3,0,11,0
Email 2597,0,1,1,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2598,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2599,2,1,4,35,2,1,2,0,25,0,1,2,1,1,0,1,4,1,10,0,0,1,0,1,0,1,0,1,0
Email 2600,4,3,8,41,2,6,3,0,23,0,0,1,0,0,0,0,6,2,21,0,0,0,0,2,0,0,0,0,0
Email 2601,3,8,1,52,0,2,3,1,35,0,1,0,3,0,0,0,5,1,13,0,0,0,0,1,0,1,0,2,0
Email 2602,2,3,0,12,0,0,2,1,16,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,1,0,1,0
Email 2603,0,1,0,8,1,0,1,0,8,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
Email 2604,0,4,1,18,2,0,1,0,15,0,1,1,1,0,0,0,0,1,9,0,0,0,0,1,0,1,0,0,0
Email 2605,5,2,3,10,0,0,5,1,19,0,1,0,1,0,0,0,6,0,6,0,0,0,0,0,0,1,0,0,0
Email 2606,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2607,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2608,10,6,5,123,0,49,13,1,93,0,3,0,2,0,1,2,20,1,76,0,0,2,0,2,0,3,0,2,0
Email 2609,9,6,2,116,0,49,13,1,83,0,3,0,2,0,1,2,19,1,68,0,0,2,0,2,0,3,0,1,0
Email 2610,4,6,2,102,0,47,10,0,70,0,2,0,1,1,1,1,11,1,67,0,0,1,0,2,0,2,0,1,0
Email 2611,7,9,7,60,9,2,1,1,44,4,5,2,4,2,0,0,13,0,27,1,0,11,0,2,0,1,0,8,0
Email 2612,1,1,0,6,0,0,0,0,6,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0
Email 2613,6,3,1,21,0,0,1,0,7,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,3,0
Email 2614,0,1,0,20,4,0,0,0,22,2,3,4,1,1,0,0,2,0,8,0,0,0,0,0,0,4,0,3,0
Email 2615,0,0,0,3,0,0,2,1,4,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1
Email 2616,0,3,1,17,5,0,1,0,10,0,0,2,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0
Email 2617,0,1,1,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2618,0,4,1,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2619,9,6,3,122,0,49,13,1,91,0,3,0,1,0,1,2,19,1,75,0,0,2,0,2,0,4,0,2,0
Email 2620,22,12,13,136,4,7,21,9,94,2,2,2,4,2,0,0,43,5,43,0,0,0,0,4,0,10,0,8,0
Email 2621,6,2,2,48,3,0,6,1,47,0,0,2,0,0,0,0,8,0,29,0,0,1,0,0,0,8,0,7,1
Email 2622,0,2,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
Email 2623,5,6,3,59,3,12,11,6,44,0,3,2,0,0,0,0,18,2,39,0,0,6,0,3,0,10,0,2,0
Email 2624,6,3,1,21,0,0,1,0,7,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,3,0
Email 2625,2,3,2,25,0,0,2,0,20,0,0,0,0,1,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0
Email 2626,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Email 2627,0,2,0,33,0,0,3,0,27,0,2,2,0,0,0,0,1,0,14,0,0,0,0,1,0,1,0,0,1
Email 2628,2,1,1,22,0,1,3,0,20,0,0,1,0,0,0,1,2,1,4,0,0,0,0,1,0,0,0,1,0
Email 2629,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Email 2630,8,7,3,37,2,0,5,4,22,0,3,4,1,2,0,0,21,0,12,0,0,2,0,2,0,6,0,0,0
Email 2631,0,1,1,17,2,0,0,0,14,1,1,0,2,0,0,0,3,0,12,1,0,0,0,0,0,2,0,2,1
Email 2632,2,2,0,16,0,0,3,1,13,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,1,0,1,0
Email 2633,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2634,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2635,6,9,4,64,3,8,10,5,37,1,2,1,1,2,0,1,17,0,26,0,0,3,0,4,0,7,1,2,0
Email 2636,1,0,1,8,0,0,1,0,6,0,0,0,0,0,0,0,2,0,9,0,0,3,0,1,0,0,0,0,0
Email 2637,4,5,3,37,3,0,8,5,27,1,1,0,1,2,0,1,12,0,16,0,0,2,0,3,0,6,0,2,0
Email 2638,0,5,1,17,1,0,2,2,12,1,0,0,2,0,0,0,2,0,6,1,0,0,0,0,0,2,0,3,1
Email 2639,19,19,1,106,5,2,10,5,73,3,12,4,3,1,1,0,33,0,27,0,0,7,0,1,0,9,0,8,0
Email 2640,5,3,4,54,1,10,9,2,36,0,5,1,0,2,0,1,12,2,21,0,0,4,0,3,0,2,0,1,0
Email 2641,6,1,3,42,2,1,7,2,27,2,1,2,1,0,0,0,11,1,12,0,0,1,1,1,0,3,0,4,0
Email 2642,1,0,0,16,1,0,2,0,16,1,2,0,0,0,0,0,1,0,10,0,0,0,0,1,0,1,0,2,1
Email 2643,32,15,15,176,5,12,27,13,126,3,10,5,5,2,0,1,61,5,62,0,0,2,1,5,0,17,0,12,0
Email 2644,9,7,4,29,4,0,5,2,20,2,1,0,0,0,0,0,17,0,14,0,0,2,0,0,0,4,0,4,0
Email 2645,3,9,3,82,16,0,10,3,69,9,3,1,2,3,0,0,15,0,40,1,0,4,0,2,0,5,0,15,1
Email 2646,8,6,6,62,3,8,21,9,58,1,9,1,1,0,0,0,23,0,41,0,0,7,0,4,0,13,0,9,0
Email 2647,1,4,1,23,1,0,3,0,30,0,0,0,2,0,4,0,2,0,9,0,1,1,0,0,0,1,0,2,1
Email 2648,4,3,3,40,3,1,15,7,41,1,5,0,1,0,0,0,13,0,22,0,0,4,0,2,0,10,0,6,0
Email 2649,8,11,1,54,3,0,1,1,61,2,3,2,0,1,0,0,11,0,42,0,0,2,0,3,0,2,0,13,1
Email 2650,5,2,3,37,1,6,8,2,29,0,4,1,0,2,0,1,12,1,14,0,0,3,0,2,0,2,0,1,0
Email 2651,2,5,3,44,3,2,7,4,39,2,2,3,1,1,1,0,13,0,25,0,0,4,0,0,0,4,0,3,0
Email 2652,2,1,2,40,7,0,1,1,32,2,1,1,2,1,0,0,7,0,15,0,0,1,0,1,0,2,0,2,1
Email 2653,4,2,2,12,0,0,0,0,9,0,0,1,0,0,1,0,7,0,7,0,0,0,0,0,0,0,0,2,0
Email 2654,3,0,2,20,1,1,2,0,10,0,1,0,0,1,0,3,4,0,13,0,0,0,0,1,0,0,0,2,0
Email 2655,4,0,3,32,1,1,3,0,16,0,3,0,0,1,0,4,5,0,21,0,0,0,0,1,0,0,0,5,0
Email 2656,4,1,3,32,1,1,2,0,15,0,3,0,0,1,0,4,5,0,21,0,0,0,0,1,0,0,0,5,0
Email 2657,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2658,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Email 2659,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2660,1,1,0,13,2,0,0,0,6,0,0,1,1,0,0,0,1,0,7,1,0,0,0,0,0,0,0,1,1
Email 2661,12,11,7,87,8,5,8,1,78,1,6,4,6,1,0,0,20,2,28,0,0,2,0,5,0,5,0,2,0
Email 2662,0,1,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Email 2663,1,2,3,26,2,0,4,1,25,0,0,2,0,0,0,0,4,0,12,0,0,0,0,0,0,1,0,1,0
Email 2664,4,2,2,12,0,0,0,0,9,0,0,1,0,0,1,0,7,0,7,0,0,0,0,0,0,0,0,2,0
Email 2665,1,2,0,10,3,0,1,0,7,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,1,0,1,0
Email 2666,4,0,5,20,0,0,0,0,9,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,3,0
Email 2667,1,0,1,13,0,1,1,0,6,0,0,1,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0
Email 2668,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
Email 2669,2,3,0,6,0,0,1,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
Email 2670,2,3,0,23,1,0,2,0,22,1,1,0,0,0,0,0,4,0,11,0,0,0,0,2,0,0,0,1,1
Email 2671,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2672,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2673,3,3,0,27,4,0,2,2,25,2,0,1,0,0,0,0,7,0,20,0,0,1,0,0,0,3,0,5,1
Email 2674,24,13,6,118,4,3,11,5,79,1,3,3,1,2,0,0,40,1,30,0,0,5,0,1,0,6,0,8,0
Email 2675,2,0,1,27,0,0,0,0,19,0,1,0,0,0,0,0,2,0,13,0,0,1,0,0,0,1,0,3,0
Email 2676,1,3,0,21,0,0,1,0,9,0,1,0,2,1,0,0,3,0,8,0,0,1,0,1,0,0,0,1,0
Email 2677,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1
Email 2678,0,0,1,3,0,0,2,1,6,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0
Email 2679,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2680,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Email 2681,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Email 2682,1,0,0,4,0,0,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Email 2683,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2684,1,1,0,17,0,0,1,1,6,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0
Email 2685,19,11,2,86,0,7,6,1,69,0,6,1,0,1,2,0,30,0,25,0,0,2,0,1,0,3,0,2,0
Email 2686,0,3,0,29,0,0,1,0,24,0,1,0,0,0,0,0,3,0,7,0,0,1,0,0,0,3,0,1,1
Email 2687,27,22,4,137,5,8,11,5,102,3,16,6,5,1,1,1,42,0,45,0,0,11,0,2,0,9,0,8,0
Email 2688,16,9,1,36,0,0,2,0,33,0,6,0,0,1,1,0,23,0,12,0,0,2,0,0,0,1,0,2,0
Email 2689,3,1,0,14,0,0,0,0,9,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
Email 2690,10,4,3,39,0,0,5,3,31,0,3,2,0,1,0,0,19,0,11,0,0,2,0,0,0,5,0,2,0
Email 2691,1,1,2,20,1,0,2,0,9,0,1,1,4,0,0,2,2,1,5,0,0,1,0,1,0,1,0,1,0
Email 2692,1,2,1,20,7,0,2,0,21,3,1,1,2,0,0,0,3,0,15,0,0,1,0,2,0,1,0,3,1
Email 2693,2,2,2,15,0,1,0,0,4,0,0,0,0,1,0,1,3,1,5,0,0,0,0,1,0,0,0,1,0
Email 2694,2,0,1,15,0,0,1,0,5,0,1,2,0,1,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0
Email 2695,5,4,0,28,2,1,1,0,13,0,1,1,0,1,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0
Email 2696,6,2,1,24,1,2,1,0,10,0,1,1,0,1,0,0,7,0,7,0,0,2,0,1,0,1,0,2,0
Email 2697,8,3,2,36,4,0,4,0,30,1,0,1,3,0,1,0,10,0,13,0,0,0,0,1,0,2,0,1,1
Email 2698,2,10,4,34,8,0,1,0,25,5,0,2,1,1,0,0,5,0,13,1,0,0,0,0,0,1,0,5,1
Email 2699,3,3,1,15,1,1,0,0,6,0,1,0,0,1,0,0,6,0,6,0,0,0,0,0,0,1,0,1,0
Email 2700,4,5,5,33,5,2,0,0,17,2,3,1,4,0,0,0,6,0,18,0,0,5,0,1,0,0,0,3,0
Email 2701,0,1,1,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2702,1,1,2,12,0,0,1,0,8,0,0,0,1,0,0,0,4,0,9,0,0,0,0,0,0,1,0,1,1
Email 2703,0,4,1,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2704,2,1,1,13,0,0,5,2,10,0,1,0,0,1,0,0,5,0,4,0,0,1,0,0,0,2,0,1,0
Email 2705,8,9,6,69,19,1,5,2,78,7,1,1,1,1,0,0,17,0,48,2,1,3,0,0,0,3,0,11,1
Email 2706,3,2,2,13,0,0,1,1,8,0,2,0,0,0,0,0,5,1,3,0,0,0,0,0,0,2,0,1,0
Email 2707,1,4,1,22,1,0,3,0,26,0,0,0,1,0,4,0,2,0,9,0,1,1,0,0,0,1,0,2,1
Email 2708,2,3,1,18,0,0,3,1,9,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,2,0,0,0
Email 2709,2,2,1,36,5,0,0,0,22,2,0,2,0,0,0,0,7,0,15,0,0,1,0,1,0,0,0,4,1
Email 2710,3,0,0,7,0,0,0,0,3,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0
Email 2711,6,6,5,70,14,1,3,1,63,10,5,0,5,1,0,0,16,0,55,1,0,3,0,11,0,1,0,15,1
Email 2712,8,5,3,50,2,5,1,0,16,0,1,4,0,1,0,1,12,1,16,0,0,2,0,3,0,2,0,2,0
Email 2713,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1
Email 2714,6,1,1,15,2,0,1,0,19,0,0,1,0,0,1,0,8,0,6,0,0,1,0,0,0,0,0,0,0
Email 2715,2,1,0,20,0,0,3,0,11,0,2,1,0,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,1
Email 2716,2,4,0,48,1,0,4,0,32,0,0,0,0,0,0,0,3,0,9,0,0,1,0,1,0,2,0,1,1
Email 2717,9,0,3,29,0,0,4,0,8,0,2,1,0,0,0,0,11,0,12,0,0,0,0,0,0,2,0,0,0
Email 2718,5,3,1,17,2,0,1,1,22,1,1,0,2,0,0,0,11,0,7,0,0,1,0,0,0,4,0,1,0
Email 2719,6,7,5,41,8,2,0,0,22,4,2,2,2,0,0,0,8,0,23,0,0,5,0,2,0,0,0,6,0
Email 2720,0,2,1,13,3,0,1,0,8,2,1,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,2,1
Email 2721,1,1,0,4,0,0,1,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Email 2722,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
Email 2723,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2724,1,4,1,6,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Email 2725,0,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2726,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Email 2727,4,5,2,35,0,3,2,2,13,0,2,1,0,0,0,0,7,1,8,0,0,0,0,1,0,3,0,1,0
Email 2728,1,1,0,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0
Email 2729,2,0,1,17,0,0,1,0,7,0,1,1,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
Email 2730,6,1,1,15,2,0,1,0,19,0,0,1,0,0,1,0,8,0,6,0,0,1,0,0,0,0,0,0,0
Email 2731,3,8,3,81,15,0,9,3,67,8,3,1,1,3,0,0,15,0,40,1,0,4,0,3,0,5,0,14,1
Email 2732,5,7,5,50,7,0,7,3,29,1,0,2,0,0,0,0,13,0,16,0,0,0,0,1,0,3,0,4,0
Email 2733,1,8,1,71,5,0,8,0,70,2,1,0,1,0,0,0,3,0,32,0,0,0,0,1,0,0,0,6,1
Email 2734,3,3,2,31,1,3,3,0,18,0,1,4,0,0,0,0,6,0,13,0,0,0,0,2,0,0,0,0,0
Email 2735,1,0,0,21,0,1,0,0,8,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,1,0,3,1
Email 2736,5,1,3,26,0,0,1,1,10,0,0,1,0,0,0,0,8,0,3,0,0,0,0,1,0,1,0,0,0
Email 2737,5,8,7,67,7,1,8,3,41,1,1,3,0,0,0,0,15,1,21,0,0,0,0,2,0,3,0,5,0
Email 2738,14,6,4,52,1,5,10,2,40,0,6,3,1,0,3,0,19,1,26,0,0,1,0,2,0,2,0,2,0
Email 2739,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1
Email 2740,13,11,6,101,7,10,11,8,69,1,6,4,2,3,0,0,35,2,45,0,0,1,0,6,0,15,0,3,0
Email 2741,0,1,2,14,4,1,1,0,15,1,3,2,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,3,1
Email 2742,0,4,0,19,3,1,0,0,11,0,0,1,0,0,0,0,3,0,13,0,0,0,0,0,0,1,0,1,0
Email 2743,5,2,1,21,2,0,1,0,7,0,1,0,0,1,0,0,7,0,13,0,0,0,0,1,0,0,0,0,0
Email 2744,14,9,8,120,0,0,16,2,92,0,0,7,5,1,1,0,24,0,25,0,0,1,0,0,0,2,0,7,1
Email 2745,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2746,0,0,0,22,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1
Email 2747,10,8,3,91,18,2,9,3,75,8,4,6,2,0,0,0,23,0,44,0,0,4,0,0,0,7,0,10,1
Email 2748,2,2,2,12,1,0,1,0,7,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
Email 2749,7,11,2,50,1,7,4,1,47,0,2,2,1,0,0,0,12,1,19,0,0,1,0,1,0,1,0,1,0
Email 2750,13,13,7,118,9,16,14,10,84,2,7,5,2,3,0,0,41,2,56,0,0,1,0,7,0,18,0,4,0
Email 2751,1,0,0,14,2,0,2,0,12,1,1,1,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,1,1
Email 2752,1,2,0,29,0,0,3,0,23,0,0,1,1,0,0,0,3,0,18,0,0,0,0,0,0,0,0,5,1
Email 2753,15,24,8,158,10,24,17,13,120,2,11,8,2,3,0,0,52,3,73,0,0,1,0,9,0,24,0,5,0
Email 2754,9,17,6,137,10,32,21,3,85,2,0,6,3,6,0,1,26,1,66,0,0,2,0,4,0,5,0,4,0
Email 2755,3,3,1,42,5,2,5,1,52,2,0,0,0,0,0,0,16,0,22,0,0,1,0,0,0,1,0,2,1
Email 2756,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Email 2757,28,14,13,174,3,2,19,5,97,2,9,2,3,1,3,0,50,0,52,0,0,1,2,1,0,11,0,8,0
Email 2758,0,0,1,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2759,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2760,0,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2761,1,0,0,26,0,0,0,0,9,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,2,0
Email 2762,24,11,6,106,0,14,8,0,73,0,3,1,2,0,0,0,37,1,39,0,0,3,0,4,0,2,0,5,0
Email 2763,0,5,0,38,1,0,6,0,26,0,1,1,2,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,1
Email 2764,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Email 2765,0,0,1,3,0,0,2,1,6,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0
Email 2766,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2767,11,9,5,82,12,2,11,1,83,8,5,1,7,3,0,0,26,0,44,1,0,1,0,0,0,3,0,10,0
Email 2768,5,6,2,41,3,10,4,2,25,0,4,0,1,0,0,0,14,1,25,0,0,1,0,1,0,5,0,4,0
Email 2769,4,5,3,63,6,1,3,2,53,4,3,1,2,0,0,0,9,0,22,0,0,2,0,0,0,4,0,4,0
Email 2770,0,1,0,18,1,0,2,0,24,0,1,0,0,0,0,0,2,0,12,0,0,0,0,1,0,0,0,2,1
Email 2771,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2772,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 2773,0,0,1,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Email 2774,4,1,0,20,2,0,3,0,22,0,0,1,0,0,0,0,4,0,10,0,0,0,0,1,0,0,0,0,0
Email 2775,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Email 2776,11,7,1,50,2,0,6,0,35,1,2,0,0,1,0,0,16,0,12,0,0,2,0,0,0,3,0,2,0
Email 2777,3,6,2,19,0,0,4,2,10,0,0,1,0,1,0,0,6,0,12,0,0,3,0,2,0,2,0,2,0
Email 2778,12,7,1,38,2,0,1,0,11,0,1,1,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0
